id|financing|financ_amount|discounts
1815|||YES
1818|YES|30.57076390864543|YES
1820|||YES
1823|||YES
1828|||YES
1831|||YES
1833|YES|27.774051519796142|
1834|YES|36.41924132755656|
1837|YES|36.66688668573011|
1844|||YES
1850|||YES
1853|YES|31.383269979840374|
1855|||YES
1857|||YES
1868|YES|20.651989875864032|YES
1882|||YES
1884|||YES
1886|YES|37.73777721115656|
1890|||YES
1895|||YES
1898|||YES
1905|||YES
1906|||YES
1908|||YES
1910|YES|39.229849021054505|YES
1916|||YES
1926|||YES
1927|||YES
1928|||YES
1937|||YES
1940|||YES
1948|||YES
1956|||YES
1959|||YES
1967|||YES
1973|||YES
1977|YES|14.833728337402244|
1980|||YES
1987|||YES
1989|||YES
1995|||YES
2001|||YES
2005|YES|5.7121811335927255|YES
2006|||YES
2007|||YES
2008|||YES
2018|YES|9.91364516315117|
2027|||YES
2029|YES|30.090825820295358|
2033|||YES
2034|||YES
2037|||YES
2043|||YES
2044|||YES
2046|||YES
2051|||YES
2052|||YES
2066|YES|26.75756278077959|
2071|||YES
2073|||YES
2075|||YES
2082|YES|25.816359475294785|
2090|||YES
2091|YES|18.964347557363066|YES
2093|YES|15.697528012947414|
2094|||YES
2096|||YES
2101|||YES
2107|||YES
2110|||YES
2126|||YES
2128|||YES
2132|YES|16.324012182133607|
2133|||YES
2140|||YES
2143|||YES
2145|||YES
2150|YES|35.24892418711265|
2160|||YES
2164|||YES
2166|||YES
2167|||YES
2180|||YES
2187|YES|21.425761497172946|
2189|||YES
2192|||YES
2200|YES|27.215175769418355|
2202|YES|32.99112352152152|
2205|||YES
2206|||YES
2214|||YES
2216|||YES
2217|||YES
2218|||YES
2223|||YES
2224|||YES
2228|||YES
2231|YES|6.650598354665747|YES
2234|||YES
2238|||YES
2239|||YES
2242|||YES
2247|YES|10.467406401876113|YES
2249|||YES
2254|||YES
2256|||YES
2258|YES|19.35525500586856|
2260|||YES
2269|||YES
2271|||YES
2272|||YES
2273|||YES
2281|||YES
2282|||YES
2288|||YES
2296|||YES
2297|||YES
2308|||YES
2309|||YES
2312|YES|6.72226443344807|
2316|||YES
2317|YES|14.106746714504142|
2322|||YES
2323|||YES
2324|||YES
2349|YES|39.97837600573375|
2353|YES|30.642089827675143|
2356|||YES
2357|YES|37.09748929738695|
2359|||YES
2368|YES|32.28226665573396|YES
2375|||YES
2381|||YES
2386|YES|29.07717022906793|
2387|||YES
2388|||YES
2395|||YES
2396|||YES
2397|||YES
2398|||YES
2402|||YES
2403|||YES
2413|YES|7.070667436523943|
2416|||YES
2417|YES|17.222500934613564|
2418|YES|36.18379201768872|YES
2421|||YES
2424|||YES
2432|YES|29.50434821211573|
2439|||YES
2444|||YES
2445|||YES
2449|||YES
2450|YES|20.643269749824753|
2451|||YES
2452|||YES
2454|||YES
2458|||YES
2461|||YES
2464|YES|31.860960681637835|
2465|||YES
2468|||YES
2475|||YES
2483|||YES
2486|YES|11.78240521561628|
2491|||YES
2496|||YES
2500|||YES
2510|||YES
2511|||YES
2513|||YES
2518|YES|19.47415859914063|YES
2523|YES|12.400273534545565|YES
2524|||YES
2531|||YES
2534|||YES
2543|YES|26.58287512252809|
2545|||YES
2547|||YES
2560|||YES
2566|||YES
2568|YES|21.4625826390173|YES
2569|||YES
2570|||YES
2571|||YES
2572|||YES
2574|||YES
2581|||YES
2582|||YES
2586|||YES
2587|||YES
2594|||YES
2603|YES|15.739711564568735|
2604|||YES
2610|||YES
2611|||YES
2615|YES|28.549532734749064|YES
2616|||YES
2620|||YES
2631|||YES
2634|||YES
2635|||YES
2643|||YES
2647|||YES
2650|||YES
2651|||YES
2652|||YES
2653|YES|18.72113505877524|
2662|||YES
2668|YES|24.54987104330437|
2669|||YES
2673|||YES
2678|YES|31.41727257047329|
2680|||YES
2685|||YES
2686|YES|18.45851351969781|
2687|||YES
2692|||YES
2697|||YES
2699|||YES
2700|||YES
2701|||YES
2703|||YES
2704|YES|24.22116364191691|YES
2705|||YES
2712|||YES
2714|YES|9.322957594798574|
2715|||YES
2716|||YES
2718|||YES
2721|||YES
2723|||YES
2732|||YES
2735|||YES
2739|||YES
2740|||YES
2742|||YES
2743|YES|25.771650884527176|
2745|YES|33.64602636041285|
2746|||YES
2747|||YES
2748|||YES
2758|||YES
2759|||YES
2760|YES|32.95063821523381|
2763|||YES
2764|||YES
2765|YES|29.78968722801125|
2766|||YES
2770|||YES
2771|||YES
2775|||YES
2777|||YES
2780|||YES
2783|||YES
2789|YES|35.80928671141367|
2792|||YES
2797|||YES
2801|||YES
2805|YES|36.55903669311935|
2811|||YES
2812|||YES
2813|||YES
2814|YES|35.22411676514861|
2818|YES|38.40490813898211|
2824|YES|17.050843339858087|
2829|||YES
2833|||YES
2834|||YES
2840|||YES
2844|YES|18.12410298745343|
2852|||YES
2854|YES|13.407625514417456|
2855|||YES
2860|||YES
2870|||YES
2871|||YES
2872|YES|15.28110124651988|
2875|||YES
2883|||YES
2889|YES|18.91488161373659|
2903|||YES
2905|||YES
2908|||YES
2909|YES|20.006007303754767|
2915|||YES
2919|||YES
2933|||YES
2940|YES|8.107859688832313|
2949|||YES
2952|||YES
2955|YES|29.42094947332561|
2961|YES|21.4752960131632|YES
2968|YES|8.196307056899277|YES
2971|||YES
2980|||YES
2981|||YES
2984|||YES
2989|||YES
2999|YES|29.644865926010407|
3003|||YES
3004|YES|27.72122747305041|
3013|||YES
3018|||YES
3021|||YES
3023|||YES
3025|||YES
3026|||YES
3028|||YES
3031|||YES
3038|YES|19.540691332244254|YES
3039|||YES
3042|YES|8.373243372923273|
3043|YES|34.145905019170854|YES
3044|||YES
3046|YES|28.19813149903809|
3048|||YES
3062|||YES
3063|||YES
3065|||YES
3072|||YES
3073|||YES
3074|||YES
3084|||YES
3104|||YES
3109|||YES
3110|||YES
3111|||YES
3112|YES|18.900874495712248|
3124|||YES
3127|YES|27.20353311765143|
3133|YES|5.02141758831353|YES
3134|||YES
3139|YES|14.240522054470274|
3140|||YES
3144|||YES
3147|||YES
3150|||YES
3151|||YES
3155|||YES
3158|||YES
3160|YES|20.41163243658516|
3163|YES|11.99136435659429|
3175|YES|30.23217953105923|YES
3178|||YES
3184|||YES
3196|||YES
3199|||YES
3200|YES|32.134394153254064|YES
3203|YES|27.210533909003768|
3204|||YES
3205|||YES
3206|||YES
3211|||YES
3212|||YES
3214|||YES
3215|||YES
3217|YES|5.916831508344438|
3222|YES|36.63353995049538|YES
3227|||YES
3228|||YES
3233|||YES
3234|||YES
3237|||YES
3241|||YES
3250|YES|16.654504524432607|
3257|||YES
3269|||YES
3272|YES|15.829319311888408|
3273|||YES
3275|YES|28.88916495293889|
3278|||YES
3284|||YES
3296|||YES
3299|||YES
3303|||YES
3304|||YES
3306|||YES
3307|||YES
3310|YES|35.8610947818225|
3312|||YES
3315|||YES
3316|||YES
3318|||YES
3321|||YES
3324|||YES
3328|||YES
3330|||YES
3335|||YES
3339|YES|6.960638297908809|
3345|||YES
3347|YES|24.8295422967672|YES
3350|||YES
3353|YES|14.018836749106724|YES
3354|||YES
3358|||YES
3367|||YES
3371|||YES
3374|YES|25.397583792921342|
3377|YES|18.537047814923845|YES
3389|||YES
3390|||YES
3391|||YES
3395|||YES
3404|YES|8.000380937069615|
3405|YES|26.73818621037579|
3411|||YES
3412|||YES
3416|||YES
3418|YES|26.451975783079032|YES
3422|||YES
3423|||YES
3428|||YES
3435|||YES
3437|||YES
3439|||YES
3440|||YES
3447|||YES
3451|YES|15.920083418793759|
3455|||YES
3464|YES|31.72369620516909|
3465|||YES
3467|||YES
3468|YES|11.509837749928346|YES
3473|||YES
3476|||YES
3483|YES|33.126982079110306|
3484|YES|31.78971704241039|YES
3489|YES|14.320105566555824|
3491|||YES
3495|||YES
3497|||YES
3502|||YES
3504|||YES
3507|||YES
3508|||YES
3510|||YES
3514|YES|11.776304883343064|YES
3521|||YES
3530|||YES
3531|||YES
3538|YES|30.132981634575962|
3544|||YES
3554|||YES
3559|||YES
3561|||YES
3563|||YES
3566|||YES
3567|||YES
3568|||YES
3572|YES|25.110686864629365|
3578|||YES
3582|YES|16.323792667079953|
3584|||YES
3591|||YES
3595|||YES
3598|YES|29.476687055224325|YES
3602|YES|12.996222488497553|
3619|||YES
3621|YES|37.41466467842654|YES
3624|||YES
3634|||YES
3638|||YES
3648|||YES
3649|||YES
3650|||YES
3651|||YES
3656|||YES
3659|YES|29.886462235369617|
3663|||YES
3666|||YES
3668|YES|14.456359329441982|
3679|||YES
3681|||YES
3685|||YES
3686|||YES
3687|||YES
3688|||YES
3693|||YES
3694|||YES
3695|||YES
3698|||YES
3704|||YES
3705|||YES
3706|YES|37.55571960730885|
3716|||YES
3721|||YES
3722|||YES
3736|||YES
3742|||YES
3749|YES|24.858506647936807|YES
3750|||YES
3753|||YES
3757|||YES
3758|||YES
3759|||YES
3766|||YES
3768|||YES
3770|||YES
3772|||YES
3776|||YES
3781|||YES
3782|YES|39.959738810268775|
3790|||YES
3802|YES|11.980248132560785|
3807|||YES
3811|||YES
3820|YES|7.4597866807121465|
3821|||YES
3828|YES|33.96516967672251|
3830|YES|34.87747882128119|
3831|||YES
3843|YES|29.197993106308605|
3844|||YES
3845|||YES
3848|||YES
3865|||YES
3867|||YES
3868|||YES
3869|YES|12.058891459525876|
3873|||YES
3876|||YES
3877|YES|36.18044547533242|
3879|||YES
3884|||YES
3889|YES|13.645409549766386|YES
3893|||YES
3898|||YES
3903|||YES
3906|||YES
3907|YES|7.739362828133951|
3909|||YES
3917|YES|15.560557180316868|
3924|||YES
3933|||YES
3935|||YES
3936|||YES
3937|||YES
3943|||YES
3944|||YES
3945|YES|26.095433338016964|
3948|||YES
3949|||YES
3957|||YES
3958|YES|20.27013208993172|
3960|||YES
3975|||YES
3981|||YES
3984|YES|26.836418412718864|
3987|||YES
3989|YES|28.367415762915183|
3991|||YES
3997|||YES
4005|||YES
4012|||YES
4017|||YES
4020|YES|31.864878658240162|
4024|||YES
4029|||YES
4032|||YES
4033|YES|38.14299496025142|
4037|||YES
4040|||YES
4045|||YES
4055|||YES
4056|||YES
4057|||YES
4059|||YES
4063|||YES
4067|||YES
4079|||YES
4080|||YES
4081|||YES
4086|||YES
4089|||YES
4097|YES|9.026928422383296|YES
4101|||YES
4123|||YES
4125|||YES
4127|YES|7.906936067767117|YES
4129|||YES
4130|||YES
4142|YES|39.90946243724739|YES
4145|||YES
4150|||YES
4152|||YES
4154|||YES
4157|||YES
4158|||YES
4159|||YES
4162|YES|27.85551590167995|
4172|||YES
4173|||YES
4175|||YES
4178|||YES
4183|||YES
4184|||YES
4187|||YES
4188|||YES
4194|||YES
4200|YES|18.655144321288628|
4203|YES|32.63650856025961|
4215|||YES
4216|||YES
4217|||YES
4218|YES|11.404103418384425|
4226|||YES
4231|||YES
4232|||YES
4233|||YES
4237|YES|27.94135899265029|
4242|||YES
4247|||YES
4252|||YES
4256|||YES
4257|YES|13.580996841986895|YES
4259|YES|26.517407482485808|
4260|||YES
4269|||YES
4279|YES|5.013309309134996|
4295|||YES
4297|||YES
4307|YES|8.095668385865233|
4309|||YES
4312|||YES
4314|||YES
4322|YES|9.63719418955423|YES
4332|||YES
4342|||YES
4343|||YES
4351|||YES
4352|YES|20.40974939553821|
4354|||YES
4360|||YES
4361|YES|13.947163939879234|
4364|||YES
4367|||YES
4371|||YES
4375|||YES
4391|||YES
4392|YES|17.243665124518227|
4397|YES|17.90658533988726|
4398|||YES
4400|YES|38.812151550765954|YES
4401|YES|34.413243935739665|YES
4418|||YES
4426|||YES
4431|YES|28.706766273586933|YES
4433|||YES
4436|YES|25.81750123643875|
4438|||YES
4445|||YES
4447|||YES
4452|||YES
4456|||YES
4457|YES|26.42543956875825|
4464|||YES
4468|||YES
4470|||YES
4475|||YES
4476|||YES
4477|||YES
4478|||YES
4481|||YES
4483|||YES
4489|||YES
4491|||YES
4502|||YES
4503|YES|5.146375527470585|YES
4507|||YES
4508|||YES
4514|YES|8.959989695368266|
4518|||YES
4521|||YES
4523|YES|24.4475359208842|
4524|||YES
4528|||YES
4534|||YES
4536|||YES
4540|||YES
4542|||YES
4554|||YES
4557|||YES
4561|||YES
4562|||YES
4564|||YES
4566|||YES
4581|YES|33.941298810260356|
4585|||YES
4594|YES|19.705413667543908|
4596|YES|31.121027387996374|
4598|||YES
4606|YES|16.229302384275762|
4608|||YES
4611|||YES
4614|YES|34.1314605892085|
4619|||YES
4625|||YES
4632|||YES
4634|YES|37.21289249537961|
4642|||YES
4654|YES|26.252672827355102|
4661|YES|9.276101840028838|YES
4670|||YES
4674|YES|30.80675909865705|
4679|||YES
4680|||YES
4681|||YES
4683|||YES
4684|||YES
4699|YES|18.78000913132133|
4700|YES|16.62771716067582|
4703|YES|16.119068352350112|
4705|||YES
4710|||YES
4715|||YES
4716|||YES
4718|||YES
4721|||YES
4722|||YES
4724|YES|19.164292738749886|
4725|||YES
4729|YES|34.82337961046044|
4731|YES|13.01016820384798|
4732|||YES
4733|||YES
4740|YES|19.31101497630584|
4747|||YES
4758|||YES
4759|YES|13.849090690985765|YES
4763|||YES
4771|||YES
4779|||YES
4781|||YES
4791|YES|35.22825427934859|
4799|YES|27.875631794401087|
4803|||YES
4804|||YES
4806|||YES
4808|YES|31.169878102569946|
4816|YES|8.228482489806073|
4821|||YES
4824|||YES
4838|YES|18.358952401811358|
4841|||YES
4845|||YES
4847|||YES
4851|||YES
4859|||YES
4862|||YES
4864|||YES
4867|||YES
4879|YES|34.37421615955897|
4880|||YES
4883|||YES
4887|||YES
4892|||YES
4896|||YES
4897|||YES
4901|||YES
4903|YES|16.703927559736385|
4906|YES|15.688349496965447|YES
4910|YES|32.25164745405993|
4914|||YES
4919|||YES
4921|||YES
4928|||YES
4930|||YES
4931|||YES
4933|||YES
4936|||YES
4948|||YES
4949|||YES
4950|YES|29.0924857237948|
4953|||YES
4955|||YES
4970|||YES
4975|||YES
4976|||YES
4977|||YES
4980|||YES
4984|YES|25.460200999933964|
4996|||YES
4998|||YES
5004|||YES
5007|||YES
5008|YES|33.797062203797886|
5010|YES|26.571448285448483|YES
5017|||YES
5018|||YES
5022|||YES
5024|YES|26.321811908287586|
5025|||YES
5041|||YES
5043|YES|31.111796118529853|
5044|YES|32.72706948355126|
5045|||YES
5047|||YES
5062|||YES
5064|YES|20.14316951445864|YES
5067|||YES
5069|||YES
5074|YES|30.96191990915763|
5077|||YES
5079|||YES
5081|||YES
5084|||YES
5087|||YES
5088|||YES
5089|||YES
5105|||YES
5106|YES|30.40751423508812|
5109|||YES
5111|||YES
5115|||YES
5120|||YES
5128|||YES
5130|||YES
5131|YES|17.604390947742267|YES
5132|||YES
5133|||YES
5136|||YES
5137|YES|24.19031257564733|
5142|YES|39.31548497125029|
5146|||YES
5147|||YES
5158|||YES
5159|||YES
5168|||YES
5176|YES|10.442138512779287|YES
5179|YES|27.82396023789356|
5180|YES|32.40488273552486|YES
5185|||YES
5190|YES|12.799952285893117|
5199|||YES
5202|||YES
5204|||YES
5206|YES|11.25418820300478|YES
5215|||YES
5216|YES|14.841569670932063|
5217|||YES
5222|||YES
5228|YES|5.7877331008563875|
5230|||YES
5236|||YES
5241|YES|39.19644165308792|
5249|||YES
5271|YES|30.435249457436857|
5272|||YES
5282|YES|17.784347418258108|
5286|YES|6.9471178681030015|
5293|||YES
5294|||YES
5303|YES|33.47411007345376|
5311|||YES
5313|YES|36.82663452643489|
5315|||YES
5317|||YES
5326|YES|27.85594749008288|
5328|||YES
5330|YES|11.148338232748237|
5333|YES|22.259428967095385|
5341|YES|17.389097524625356|
5342|||YES
5352|||YES
5354|YES|13.267944719640546|YES
5355|YES|14.403372153211887|
5363|||YES
5373|||YES
5374|||YES
5380|YES|9.019948500318502|
5382|YES|24.749154219445963|
5401|||YES
5403|||YES
5406|||YES
5409|||YES
5412|||YES
5418|||YES
5419|||YES
5421|||YES
5422|||YES
5426|YES|30.67642152588783|
5432|||YES
5440|||YES
5441|YES|39.75802802317525|YES
5442|||YES
5444|||YES
5446|YES|39.47080400033045|
5451|YES|10.238779881304556|
5453|||YES
5457|||YES
5459|||YES
5460|YES|34.562563058487434|
5465|YES|34.5813454624771|
5467|||YES
5472|||YES
5473|YES|19.880630958009824|
5479|||YES
5480|||YES
5487|||YES
5489|||YES
5492|YES|30.792951459702945|
5493|||YES
5500|||YES
5502|||YES
5510|||YES
5513|YES|28.67808492125329|
5527|||YES
5529|YES|26.906170791321784|
5530|||YES
5532|||YES
5536|YES|7.267146722649497|
5542|||YES
5545|||YES
5546|||YES
5549|YES|35.7885153641046|
5550|YES|37.624339655023775|YES
5555|||YES
5559|||YES
5564|YES|6.6193649100968335|
5565|||YES
5570|||YES
5572|||YES
5573|YES|31.883041735665607|
5577|||YES
5592|||YES
5593|YES|14.490120038641553|
5594|||YES
5597|||YES
5600|||YES
5601|YES|16.70121647264432|
5602|YES|14.691930438192859|
5604|||YES
5614|||YES
5617|||YES
5625|||YES
5631|||YES
5632|||YES
5652|||YES
5653|YES|9.756807942790488|
5657|YES|15.331367309775185|
5662|||YES
5663|||YES
5665|||YES
5666|YES|9.442383152223346|
5676|YES|10.977570997173505|
5679|||YES
5681|||YES
5688|||YES
5696|||YES
5697|||YES
5720|||YES
5724|||YES
5727|||YES
5730|||YES
5733|YES|13.99420327531055|
5743|||YES
5744|||YES
5751|||YES
5756|||YES
5758|||YES
5765|||YES
5767|YES|38.31504507452197|
5774|||YES
5777|||YES
5781|YES|5.159386122613887|
5784|||YES
5786|||YES
5787|||YES
5792|||YES
5801|||YES
5802|YES|7.450824138877702|
5803|||YES
5808|||YES
5809|||YES
5810|||YES
5815|||YES
5820|||YES
5830|||YES
5832|||YES
5843|YES|19.891843819503293|YES
5845|YES|14.443275233103988|
5846|||YES
5849|||YES
5852|||YES
5862|||YES
5871|||YES
5874|YES|36.27294451692542|
5877|YES|13.606754331785204|
5886|||YES
5887|YES|32.96071605885568|YES
5888|||YES
5890|||YES
5891|||YES
5896|||YES
5897|||YES
5898|||YES
5901|||YES
5902|||YES
5905|||YES
5907|||YES
5919|||YES
5920|||YES
5923|||YES
5924|||YES
5932|||YES
5933|YES|5.420874908976726|
5936|||YES
5947|||YES
5950|||YES
5953|||YES
5958|YES|20.110140223408106|YES
5961|YES|22.67747120605314|
5962|||YES
5964|||YES
5966|||YES
5967|YES|19.174955089569767|YES
5971|||YES
5980|||YES
5987|||YES
5992|||YES
6002|||YES
6004|||YES
6007|YES|11.036605614935482|
6008|||YES
6032|||YES
6041|||YES
6042|||YES
6043|||YES
6046|||YES
6059|||YES
6061|||YES
6070|YES|23.408812375700478|
6074|||YES
6075|||YES
6076|||YES
6077|||YES
6082|YES|31.20225266178029|
6085|||YES
6086|||YES
6095|||YES
6099|||YES
6102|||YES
6104|||YES
6116|||YES
6122|||YES
6124|YES|20.727687978083875|
6126|||YES
6128|||YES
6133|YES|29.28361856432949|
6136|||YES
6142|||YES
6147|YES|15.97311700124893|YES
6156|||YES
6157|||YES
6162|YES|15.540251247410273|
6167|||YES
6175|YES|16.884685018235405|
6176|||YES
6180|YES|11.758897713059984|
6183|YES|33.73723378936327|
6184|||YES
6186|||YES
6189|YES|24.585599907082525|
6190|||YES
6195|||YES
6205|YES|19.92251409364552|
6213|||YES
6225|YES|37.38027921004664|YES
6235|YES|24.711418405345405|
6248|||YES
6249|||YES
6253|||YES
6254|||YES
6257|||YES
6259|||YES
6261|YES|11.2306991977988|
6263|||YES
6266|||YES
6269|YES|16.90487812856395|
6270|||YES
6275|||YES
6276|||YES
6285|YES|35.0477588471374|
6286|||YES
6289|YES|14.72068493271724|
6292|||YES
6303|||YES
6306|||YES
6311|||YES
6315|YES|8.335124570400659|
6318|YES|25.24749868293825|
6324|||YES
6332|||YES
6338|YES|37.69789315084167|
6340|YES|6.049675233314189|
6345|||YES
6353|||YES
6354|||YES
6356|||YES
6363|||YES
6369|||YES
6370|YES|17.43379064383096|YES
6373|||YES
6374|||YES
6378|||YES
6380|||YES
6381|||YES
6386|YES|36.019935358803465|YES
6390|||YES
6392|||YES
6401|||YES
6406|YES|38.86261428614827|
